"path","top_level","category","subsystem","size_bytes","last_write_utc","extension","action","rationale","risk","evidence","owner","notes","bucket"
"client/dist/index.html","client","frontend","unclassified","740","2026-03-05T21:05:58Z",".html","TBD","","","","","","generated_build_output_local"
"client/Dockerfile","client","frontend","unclassified","189","2026-03-03T22:15:44Z","","TBD","","","","","","source_frontend"
"client/index.html","client","frontend","unclassified","642","2026-03-02T21:06:41Z",".html","TBD","","","","","","source_frontend"
"client/node_modules/.bin/baseline-browser-mapping","client","frontend","unclassified","423","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/baseline-browser-mapping.cmd","client","frontend","unclassified","342","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/baseline-browser-mapping.ps1","client","frontend","unclassified","873","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/browserslist","client","frontend","unclassified","387","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/browserslist.cmd","client","frontend","unclassified","324","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/browserslist.ps1","client","frontend","unclassified","801","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/esbuild","client","frontend","unclassified","387","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/esbuild.cmd","client","frontend","unclassified","324","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/esbuild.ps1","client","frontend","unclassified","801","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/jsesc","client","frontend","unclassified","379","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/jsesc.cmd","client","frontend","unclassified","320","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/jsesc.ps1","client","frontend","unclassified","785","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/json5","client","frontend","unclassified","381","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/json5.cmd","client","frontend","unclassified","321","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/json5.ps1","client","frontend","unclassified","789","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/loose-envify","client","frontend","unclassified","387","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/loose-envify.cmd","client","frontend","unclassified","324","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/loose-envify.ps1","client","frontend","unclassified","801","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/nanoid","client","frontend","unclassified","391","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/nanoid.cmd","client","frontend","unclassified","326","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/nanoid.ps1","client","frontend","unclassified","809","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/parser","client","frontend","unclassified","415","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/parser.cmd","client","frontend","unclassified","338","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/parser.ps1","client","frontend","unclassified","857","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/rollup","client","frontend","unclassified","393","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/rollup.cmd","client","frontend","unclassified","327","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/rollup.ps1","client","frontend","unclassified","813","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/semver","client","frontend","unclassified","389","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/semver.cmd","client","frontend","unclassified","325","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/semver.ps1","client","frontend","unclassified","805","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/tsc","client","frontend","unclassified","385","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/tsc.cmd","client","frontend","unclassified","323","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/tsc.ps1","client","frontend","unclassified","797","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/tsserver","client","frontend","unclassified","395","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/tsserver.cmd","client","frontend","unclassified","328","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/tsserver.ps1","client","frontend","unclassified","817","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/update-browserslist-db","client","frontend","unclassified","407","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/update-browserslist-db.cmd","client","frontend","unclassified","334","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/update-browserslist-db.ps1","client","frontend","unclassified","841","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/vite","client","frontend","unclassified","381","2026-03-02T20:59:50Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/vite.cmd","client","frontend","unclassified","321","2026-03-02T20:59:50Z",".cmd","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.bin/vite.ps1","client","frontend","unclassified","789","2026-03-02T20:59:50Z",".ps1","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.package-lock.json","client","frontend","unclassified","37635","2026-03-03T01:28:47Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/_metadata.json","client","frontend","unclassified","1101","2026-03-02T21:45:08Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/chunk-373CG7ZK.js","client","frontend","unclassified","927989","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/chunk-373CG7ZK.js.map","client","frontend","unclassified","1492546","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/chunk-REFQX4J5.js","client","frontend","unclassified","77956","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/chunk-REFQX4J5.js.map","client","frontend","unclassified","125604","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/package.json","client","frontend","unclassified","23","2026-03-02T21:45:02Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react.js","client","frontend","unclassified","121","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react.js.map","client","frontend","unclassified","93","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react_jsx-dev-runtime.js","client","frontend","unclassified","36929","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react_jsx-dev-runtime.js.map","client","frontend","unclassified","61082","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react_jsx-runtime.js","client","frontend","unclassified","37268","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react_jsx-runtime.js.map","client","frontend","unclassified","61909","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react-dom.js","client","frontend","unclassified","163","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react-dom.js.map","client","frontend","unclassified","93","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react-dom_client.js","client","frontend","unclassified","986","2026-03-02T21:45:02Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/.vite/deps/react-dom_client.js.map","client","frontend","unclassified","1212","2026-03-02T21:45:02Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/code-frame/lib/index.js","client","frontend","unclassified","7193","2026-03-02T20:59:47Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/code-frame/lib/index.js.map","client","frontend","unclassified","25092","2026-03-02T20:59:47Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/code-frame/LICENSE","client","frontend","unclassified","1106","2026-03-02T20:59:47Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/code-frame/package.json","client","frontend","unclassified","907","2026-03-02T20:59:47Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/code-frame/README.md","client","frontend","unclassified","334","2026-03-02T20:59:47Z",".md","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/corejs2-built-ins.js","client","frontend","unclassified","132","2026-03-02T20:59:47Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/corejs3-shipped-proposals.js","client","frontend","unclassified","160","2026-03-02T20:59:47Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/data/corejs2-built-ins.json","client","frontend","unclassified","41002","2026-03-02T20:59:47Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/data/corejs3-shipped-proposals.json","client","frontend","unclassified","88","2026-03-02T20:59:47Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/data/native-modules.json","client","frontend","unclassified","316","2026-03-02T20:59:47Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/data/overlapping-plugins.json","client","frontend","unclassified","1198","2026-03-02T20:59:47Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/data/plugin-bugfixes.json","client","frontend","unclassified","4151","2026-03-02T20:59:48Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/data/plugins.json","client","frontend","unclassified","16954","2026-03-02T20:59:48Z",".json","TBD","","","","","","generated_dependency_vendor_local"
